x1,y1,sigma1,x2,y2,sigma2
335.490997314,86.6166000366,2.41956996918,335.490997314,86.6166000366,2.41956996918
386.777008057,84.6427993774,2.60699009895,386.777008057,84.6427993774,2.60699009895
478.544006348,85.3143997192,2.77953004837,478.544006348,85.3143997192,2.77953004837
839.791015625,85.1447982788,2.29847002029,839.791015625,85.1447982788,2.29847002029
1148.33996582,85.2438964844,39.2300987244,1148.33996582,85.2438964844,39.2300987244
1373.80004883,85.101600647,2.70689988136,1373.80004883,85.101600647,2.70689988136
1392.84997559,85.9157028198,2.00071001053,1392.84997559,85.9157028198,2.00071001053
1485.4699707,86.1735992432,5.02513980865,1485.4699707,86.1735992432,5.02513980865
314.526000977,86.729598999,2.6414000988,314.526000977,86.729598999,2.6414000988
327.178985596,85.6084976196,1.98819994926,327.178985596,85.6084976196,1.98819994926
345.653991699,84.7975997925,5.07323980331,345.653991699,84.7975997925,5.07323980331
404.104003906,86.0577011108,2.45941996574,404.104003906,86.0577011108,2.45941996574
670.831970215,82.587097168,10.4790000916,670.831970215,82.587097168,10.4790000916
1321.82995605,85.6968002319,5.36665010452,1321.82995605,85.6968002319,5.36665010452
1327.91003418,85.4521026611,2.70357990265,1327.91003418,85.4521026611,2.70357990265
1357.98999023,87.3641967773,11.3348999023,1357.98999023,87.3641967773,11.3348999023
1365.35998535,85.0567016602,2.66490006447,1365.35998535,85.0567016602,2.66490006447
1435.2199707,86.217300415,10.8066997528,1435.2199707,86.217300415,10.8066997528
