x1, y1, sigma1, angle1, t1_x, t1_y, theta1, x2, y2, sigma2, angle2, t2_x, t2_y, theta2
559.501,1056.95,1.43529e+07,92.957,1,5.18168,79.5379,1489.22,1770.38,5.89901e+06,288.364,1,2.61757,159.639
1568.94,355.772,1.0945e+07,148.213,1,2.61757,114.028,382.493,1690.1,1.09455e+07,311.307,1,1,0
386.327,1510,7.47136e+06,283.859,1,5.18168,0,428.141,1531.52,6.35725e+06,282.819,1,5.18168,0
648.735,94.1713,1.65158e+07,337.749,1,5.18168,170.438,699.957,118.332,4.85043e+06,337.917,1,5.18168,170.438
1208.08,555.818,8.12698e+06,273.569,1,2.61757,0,1252.36,570.355,4.12928e+06,269.622,1,2.61757,0
618.709,94.1154,1.48116e+07,100.568,1,5.18168,22.7251,368.104,1199.63,4.98176e+06,79.1385,1,5.18168,90.9004
480.83,1511.98,4.5225e+06,103.744,1,5.18168,170.438,519.935,1527.96,1.32385e+07,98.1502,1,5.18168,170.438
317.781,1056.68,4.06374e+06,230.256,1,5.18168,147.713,354.136,1061.01,3.14598e+06,234.522,1,5.18168,147.713
240.753,615.277,1.46806e+07,249.114,1,2.61757,136.833,283.891,630.88,9.4377e+06,248.84,1,2.61757,136.833
261.09,446.686,2.81831e+06,184.28,1,5.18168,159.076,310.152,450.634,5.17811e+06,175.172,1,5.18168,159.076
230.525,356.227,1.02894e+07,297.092,1,1,0,14.1125,683.217,8.84813e+06,120.401,1,2.61757,45.6111
1093.38,357.023,4.45671e+06,272.765,1,5.18168,22.7251,1122,389.126,6.68544e+06,276.258,1,2.61757,22.8056
924.341,688.489,1.06179e+07,96.2575,1,5.18168,11.3626,635.179,1825.04,3.01542e+06,205.003,1,1,0
258.772,99.6369,1.4025e+07,279.976,1,2.61757,22.8056,1210.19,602.529,1.83603e+06,270.885,1,5.18168,22.7251
932.785,690.518,7.14445e+06,79.4262,1,5.18168,79.5379,931.989,671.679,3.0807e+06,85.136,1,5.18168,45.4502
45.6531,360.003,7.47213e+06,92.3009,1,5.18168,68.1753,916.754,664.978,1.66467e+07,84.2497,1,5.18168,45.4502
1423.29,497.971,4.32614e+06,128.502,1,2.61757,114.028,493.336,1405.93,1.10758e+07,125.823,1,2.61757,0
1521.4,498.22,1.36317e+07,108.076,1,2.61757,114.028,332.421,523.614,7.93037e+06,341.469,1,1,0
